Provinsi,Komoditas,Bulan,Harga
Aceh,Beras Premium,Juli,14610
Sumatera Utara,Beras Premium,Juli,15210
Sumatera Barat,Beras Premium,Juli,17390
Riau,Beras Premium,Juli,16110
Jambi,Beras Premium,Juli,14630
Sumatera Selatan,Beras Premium,Juli,14010
Bengkulu,Beras Premium,Juli,15370
Lampung,Beras Premium,Juli,14300
Kepulauan Bangka Belitung,Beras Premium,Juli,16240
Kepulauan Riau,Beras Premium,Juli,16230
DKI Jakarta,Beras Premium,Juli,15710
Jawa Barat,Beras Premium,Juli,14690
Jawa Tengah,Beras Premium,Juli,14780
D.I Yogyakarta,Beras Premium,Juli,14360
Jawa Timur,Beras Premium,Juli,14590
Banten,Beras Premium,Juli,15110
Bali,Beras Premium,Juli,15160
Nusa Tenggara Barat,Beras Premium,Juli,14600
Nusa Tenggara Timur,Beras Premium,Juli,15690
Kalimantan Barat,Beras Premium,Juli,17270
Kalimantan Tengah,Beras Premium,Juli,17500
Kalimantan Selatan,Beras Premium,Juli,16540
Kalimantan Timur,Beras Premium,Juli,17390
Kalimantan Utara,Beras Premium,Juli,17060
Sulawesi Utara,Beras Premium,Juli,14930
Sulawesi Tengah,Beras Premium,Juli,15550
Sulawesi Selatan,Beras Premium,Juli,14660
Sulawesi Tenggara,Beras Premium,Juli,14520
Gorontalo,Beras Premium,Juli,15020
Sulawesi Barat,Beras Premium,Juli,14570
Maluku,Beras Premium,Juli,17750
Maluku Utara,Beras Premium,Juli,18040
Papua Barat,Beras Premium,Juli,18400
Papua,Beras Premium,Juli,17860
Papua Barat Daya,Beras Premium,Juli,18060
Papua Pegunungan,Beras Premium,Juli,20000
Papua Tengah,Beras Premium,Juli,18960
Papua Selatan,Beras Premium,Juli,15000
Aceh,Beras Medium,Juli,13350
Sumatera Utara,Beras Medium,Juli,13920
Sumatera Barat,Beras Medium,Juli,14930
Riau,Beras Medium,Juli,13880
Jambi,Beras Medium,Juli,13060
Sumatera Selatan,Beras Medium,Juli,12230
Bengkulu,Beras Medium,Juli,13440
Lampung,Beras Medium,Juli,12560
Kepulauan Bangka Belitung,Beras Medium,Juli,14370
Kepulauan Riau,Beras Medium,Juli,14240
DKI Jakarta,Beras Medium,Juli,13720
Jawa Barat,Beras Medium,Juli,12730
Jawa Tengah,Beras Medium,Juli,12950
D.I Yogyakarta,Beras Medium,Juli,12830
Jawa Timur,Beras Medium,Juli,12540
Banten,Beras Medium,Juli,12730
Bali,Beras Medium,Juli,13580
Nusa Tenggara Barat,Beras Medium,Juli,12910
Nusa Tenggara Timur,Beras Medium,Juli,13300
Kalimantan Barat,Beras Medium,Juli,14810
Kalimantan Tengah,Beras Medium,Juli,14120
Kalimantan Selatan,Beras Medium,Juli,13100
Kalimantan Timur,Beras Medium,Juli,15810
Kalimantan Utara,Beras Medium,Juli,15050
Sulawesi Utara,Beras Medium,Juli,13690
Sulawesi Tengah,Beras Medium,Juli,13220
Sulawesi Selatan,Beras Medium,Juli,12690
Sulawesi Tenggara,Beras Medium,Juli,13100
Gorontalo,Beras Medium,Juli,13200
Sulawesi Barat,Beras Medium,Juli,13480
Maluku,Beras Medium,Juli,14560
Maluku Utara,Beras Medium,Juli,16150
Papua Barat,Beras Medium,Juli,15570
Papua,Beras Medium,Juli,15380
Papua Barat Daya,Beras Medium,Juli,15970
Papua Pegunungan,Beras Medium,Juli,18000
Papua Tengah,Beras Medium,Juli,15650
Papua Selatan,Beras Medium,Juli,13000
Aceh,Bawang Merah,Juli,41510
Sumatera Utara,Bawang Merah,Juli,39290
Sumatera Barat,Bawang Merah,Juli,36550
Riau,Bawang Merah,Juli,42440
Jambi,Bawang Merah,Juli,33740
Sumatera Selatan,Bawang Merah,Juli,36750
Bengkulu,Bawang Merah,Juli,39460
Lampung,Bawang Merah,Juli,32130
Kepulauan Bangka Belitung,Bawang Merah,Juli,41120
Kepulauan Riau,Bawang Merah,Juli,40810
DKI Jakarta,Bawang Merah,Juli,44600
Jawa Barat,Bawang Merah,Juli,33940
Jawa Tengah,Bawang Merah,Juli,32300
D.I Yogyakarta,Bawang Merah,Juli,32990
Jawa Timur,Bawang Merah,Juli,30720
Banten,Bawang Merah,Juli,33250
Bali,Bawang Merah,Juli,29130
Nusa Tenggara Barat,Bawang Merah,Juli,31200
Nusa Tenggara Timur,Bawang Merah,Juli,34520
Kalimantan Barat,Bawang Merah,Juli,42990
Kalimantan Tengah,Bawang Merah,Juli,42360
Kalimantan Selatan,Bawang Merah,Juli,35910
Kalimantan Timur,Bawang Merah,Juli,40870
Kalimantan Utara,Bawang Merah,Juli,48540
Sulawesi Utara,Bawang Merah,Juli,45590
Sulawesi Tengah,Bawang Merah,Juli,42230
Sulawesi Selatan,Bawang Merah,Juli,33650
Sulawesi Tenggara,Bawang Merah,Juli,39340
Gorontalo,Bawang Merah,Juli,44020
Sulawesi Barat,Bawang Merah,Juli,35860
Maluku,Bawang Merah,Juli,46250
Maluku Utara,Bawang Merah,Juli,59950
Papua Barat,Bawang Merah,Juli,58990
Papua,Bawang Merah,Juli,61310
Papua Barat Daya,Bawang Merah,Juli,56500
Papua Pegunungan,Bawang Merah,Juli,83430
Papua Tengah,Bawang Merah,Juli,73610
Papua Selatan,Bawang Merah,Juli,50000
Aceh,Bawang Putih,Juli,40080
Sumatera Utara,Bawang Putih,Juli,39140
Sumatera Barat,Bawang Putih,Juli,39300
Riau,Bawang Putih,Juli,38870
Jambi,Bawang Putih,Juli,36510
Sumatera Selatan,Bawang Putih,Juli,37830
Bengkulu,Bawang Putih,Juli,39880
Lampung,Bawang Putih,Juli,36840
Kepulauan Bangka Belitung,Bawang Putih,Juli,40800
Kepulauan Riau,Bawang Putih,Juli,36280
DKI Jakarta,Bawang Putih,Juli,42000
Jawa Barat,Bawang Putih,Juli,38890
Jawa Tengah,Bawang Putih,Juli,36710
D.I Yogyakarta,Bawang Putih,Juli,36670
Jawa Timur,Bawang Putih,Juli,34540
Banten,Bawang Putih,Juli,39810
Bali,Bawang Putih,Juli,34710
Nusa Tenggara Barat,Bawang Putih,Juli,39830
Nusa Tenggara Timur,Bawang Putih,Juli,44630
Kalimantan Barat,Bawang Putih,Juli,40530
Kalimantan Tengah,Bawang Putih,Juli,41700
Kalimantan Selatan,Bawang Putih,Juli,37560
Kalimantan Timur,Bawang Putih,Juli,44010
Kalimantan Utara,Bawang Putih,Juli,45110
Sulawesi Utara,Bawang Putih,Juli,47940
Sulawesi Tengah,Bawang Putih,Juli,48210
Sulawesi Selatan,Bawang Putih,Juli,40700
Sulawesi Tenggara,Bawang Putih,Juli,45630
Gorontalo,Bawang Putih,Juli,46370
Sulawesi Barat,Bawang Putih,Juli,42170
Maluku,Bawang Putih,Juli,48150
Maluku Utara,Bawang Putih,Juli,59950
Papua Barat,Bawang Putih,Juli,58440
Papua,Bawang Putih,Juli,55430
Papua Barat Daya,Bawang Putih,Juli,58220
Papua Pegunungan,Bawang Putih,Juli,73620
Papua Tengah,Bawang Putih,Juli,69800
Papua Selatan,Bawang Putih,Juli,50000
Aceh,Cabai Merah,Juli,44010
Sumatera Utara,Cabai Merah,Juli,39750
Sumatera Barat,Cabai Merah,Juli,45020
Riau,Cabai Merah,Juli,51670
Jambi,Cabai Merah,Juli,32380
Sumatera Selatan,Cabai Merah,Juli,39820
Bengkulu,Cabai Merah,Juli,42180
Lampung,Cabai Merah,Juli,33180
Kepulauan Bangka Belitung,Cabai Merah,Juli,46930
Kepulauan Riau,Cabai Merah,Juli,64390
DKI Jakarta,Cabai Merah,Juli,42310
Jawa Barat,Cabai Merah,Juli,39620
Jawa Tengah,Cabai Merah,Juli,31980
D.I Yogyakarta,Cabai Merah,Juli,31760
Jawa Timur,Cabai Merah,Juli,31440
Banten,Cabai Merah,Juli,36720
Bali,Cabai Merah,Juli,37320
Nusa Tenggara Barat,Cabai Merah,Juli,40960
Nusa Tenggara Timur,Cabai Merah,Juli,54780
Kalimantan Barat,Cabai Merah,Juli,60510
Kalimantan Tengah,Cabai Merah,Juli,62020
Kalimantan Selatan,Cabai Merah,Juli,41190
Kalimantan Timur,Cabai Merah,Juli,54840
Kalimantan Utara,Cabai Merah,Juli,82230
Sulawesi Utara,Cabai Merah,Juli,46190
Sulawesi Tengah,Cabai Merah,Juli,56290
Sulawesi Selatan,Cabai Merah,Juli,33510
Sulawesi Tenggara,Cabai Merah,Juli,55400
Gorontalo,Cabai Merah,Juli,51890
Sulawesi Barat,Cabai Merah,Juli,35740
Maluku,Cabai Merah,Juli,61130
Maluku Utara,Cabai Merah,Juli,71200
Papua Barat,Cabai Merah,Juli,74020
Papua,Cabai Merah,Juli,102510
Papua Barat Daya,Cabai Merah,Juli,76200
Papua Pegunungan,Cabai Merah,Juli,109970
Papua Tengah,Cabai Merah,Juli,96630
Papua Selatan,Cabai Merah,Juli,45000
Aceh,Cabai Rawit,Juli,40000
Sumatera Utara,Cabai Rawit,Juli,46880
Sumatera Barat,Cabai Rawit,Juli,51800
Riau,Cabai Rawit,Juli,57670
Jambi,Cabai Rawit,Juli,43620
Sumatera Selatan,Cabai Rawit,Juli,40960
Bengkulu,Cabai Rawit,Juli,47780
Lampung,Cabai Rawit,Juli,41420
Kepulauan Bangka Belitung,Cabai Rawit,Juli,50170
Kepulauan Riau,Cabai Rawit,Juli,61150
DKI Jakarta,Cabai Rawit,Juli,42630
Jawa Barat,Cabai Rawit,Juli,40050
Jawa Tengah,Cabai Rawit,Juli,31940
D.I Yogyakarta,Cabai Rawit,Juli,31300
Jawa Timur,Cabai Rawit,Juli,30080
Banten,Cabai Rawit,Juli,38730
Bali,Cabai Rawit,Juli,33070
Nusa Tenggara Barat,Cabai Rawit,Juli,34680
Nusa Tenggara Timur,Cabai Rawit,Juli,41450
Kalimantan Barat,Cabai Rawit,Juli,71040
Kalimantan Tengah,Cabai Rawit,Juli,58470
Kalimantan Selatan,Cabai Rawit,Juli,45260
Kalimantan Timur,Cabai Rawit,Juli,53290
Kalimantan Utara,Cabai Rawit,Juli,78320
Sulawesi Utara,Cabai Rawit,Juli,56390
Sulawesi Tengah,Cabai Rawit,Juli,58710
Sulawesi Selatan,Cabai Rawit,Juli,32480
Sulawesi Tenggara,Cabai Rawit,Juli,49880
Gorontalo,Cabai Rawit,Juli,51090
Sulawesi Barat,Cabai Rawit,Juli,44940
Maluku,Cabai Rawit,Juli,57390
Maluku Utara,Cabai Rawit,Juli,76080
Papua Barat,Cabai Rawit,Juli,81820
Papua,Cabai Rawit,Juli,92280
Papua Barat Daya,Cabai Rawit,Juli,75770
Papua Pegunungan,Cabai Rawit,Juli,115980
Papua Tengah,Cabai Rawit,Juli,125310
Papua Selatan,Cabai Rawit,Juli,40000
Aceh,Jagung,Juli,7000
Sumatera Utara,Jagung,Juli,6000
Sumatera Barat,Jagung,Juli,5160
Riau,Jagung,Juli,5900
Sumatera Selatan,Jagung,Juli,5480
Lampung,Jagung,Juli,4780
Kepulauan Riau,Jagung,Juli,6600
Jawa Barat,Jagung,Juli,5440
Jawa Tengah,Jagung,Juli,4910
D.I Yogyakarta,Jagung,Juli,4970
Jawa Timur,Jagung,Juli,5210
Banten,Jagung,Juli,6930
Bali,Jagung,Juli,5440
Nusa Tenggara Barat,Jagung,Juli,3950
Nusa Tenggara Timur,Jagung,Juli,6730
Kalimantan Barat,Jagung,Juli,5420
Kalimantan Tengah,Jagung,Juli,6240
Kalimantan Selatan,Jagung,Juli,6850
Kalimantan Timur,Jagung,Juli,7220
Sulawesi Utara,Jagung,Juli,4960
Sulawesi Tengah,Jagung,Juli,5910
Sulawesi Selatan,Jagung,Juli,5230
Sulawesi Tenggara,Jagung,Juli,5280
Sulawesi Barat,Jagung,Juli,7000
Maluku,Jagung,Juli,6990
Maluku Utara,Jagung,Juli,8000
Papua Barat,Jagung,Juli,6840
Papua,Jagung,Juli,6960
Papua Barat Daya,Jagung,Juli,6380
Papua Pegunungan,Jagung,Juli,7480
Papua Tengah,Jagung,Juli,7030
Papua Selatan,Jagung,Juli,7000
Aceh,Beras,Juli,12820
Sumatera Utara,Beras,Juli,12500
Sumatera Barat,Beras,Juli,12820
Riau,Beras,Juli,13140
Jambi,Beras,Juli,12660
Sumatera Selatan,Beras,Juli,12610
Bengkulu,Beras,Juli,12940
Lampung,Beras,Juli,12070
Kepulauan Bangka Belitung,Beras,Juli,13290
Kepulauan Riau,Beras,Juli,12910
Jawa Barat,Beras,Juli,12180
Jawa Tengah,Beras,Juli,12180
D.I Yogyakarta,Beras,Juli,12370
Jawa Timur,Beras,Juli,12050
Banten,Beras,Juli,12340
Bali,Beras,Juli,12300
Nusa Tenggara Barat,Beras,Juli,12500
Nusa Tenggara Timur,Beras,Juli,12830
Kalimantan Barat,Beras,Juli,12980
Kalimantan Tengah,Beras,Juli,12980
Kalimantan Selatan,Beras,Juli,13020
Kalimantan Timur,Beras,Juli,12320
Kalimantan Utara,Beras,Juli,13000
Sulawesi Utara,Beras,Juli,12460
Sulawesi Tengah,Beras,Juli,12090
Sulawesi Selatan,Beras,Juli,12160
Sulawesi Tenggara,Beras,Juli,12480
Gorontalo,Beras,Juli,12470
Sulawesi Barat,Beras,Juli,11940
Maluku,Beras,Juli,13620
Maluku Utara,Beras,Juli,13600
Papua Barat,Beras,Juli,12750
Papua,Beras,Juli,13750
Papua Barat Daya,Beras,Juli,12960
Papua Pegunungan,Beras,Juli,15000
Papua Tengah,Beras,Juli,13370
Papua Selatan,Beras,Juli,14000
Aceh,Beras Premium,Agustus,14660
Sumatera Utara,Beras Premium,Agustus,15450
Sumatera Barat,Beras Premium,Agustus,17230
Riau,Beras Premium,Agustus,16050
Jambi,Beras Premium,Agustus,14680
Sumatera Selatan,Beras Premium,Agustus,14050
Bengkulu,Beras Premium,Agustus,15420
Lampung,Beras Premium,Agustus,14520
Kepulauan Bangka Belitung,Beras Premium,Agustus,16110
Kepulauan Riau,Beras Premium,Agustus,16390
DKI Jakarta,Beras Premium,Agustus,15870
Jawa Barat,Beras Premium,Agustus,14870
Jawa Tengah,Beras Premium,Agustus,14820
D.I Yogyakarta,Beras Premium,Agustus,14310
Jawa Timur,Beras Premium,Agustus,14570
Banten,Beras Premium,Agustus,14880
Bali,Beras Premium,Agustus,15450
Nusa Tenggara Barat,Beras Premium,Agustus,14500
Nusa Tenggara Timur,Beras Premium,Agustus,15650
Kalimantan Barat,Beras Premium,Agustus,17240
Kalimantan Tengah,Beras Premium,Agustus,17440
Kalimantan Selatan,Beras Premium,Agustus,16250
Kalimantan Timur,Beras Premium,Agustus,17370
Kalimantan Utara,Beras Premium,Agustus,17410
Sulawesi Utara,Beras Premium,Agustus,15020
Sulawesi Tengah,Beras Premium,Agustus,15520
Sulawesi Selatan,Beras Premium,Agustus,14730
Sulawesi Tenggara,Beras Premium,Agustus,14690
Gorontalo,Beras Premium,Agustus,15230
Sulawesi Barat,Beras Premium,Agustus,14640
Maluku,Beras Premium,Agustus,17620
Maluku Utara,Beras Premium,Agustus,18080
Papua Barat,Beras Premium,Agustus,18320
Papua,Beras Premium,Agustus,18050
Papua Barat Daya,Beras Premium,Agustus,17580
Papua Pegunungan,Beras Premium,Agustus,20000
Papua Tengah,Beras Premium,Agustus,18770
Papua Selatan,Beras Premium,Agustus,16490
Aceh,Beras Medium,Agustus,13500
Sumatera Utara,Beras Medium,Agustus,14070
Sumatera Barat,Beras Medium,Agustus,14860
Riau,Beras Medium,Agustus,13810
Jambi,Beras Medium,Agustus,12980
Sumatera Selatan,Beras Medium,Agustus,12390
Bengkulu,Beras Medium,Agustus,13470
Lampung,Beras Medium,Agustus,12780
Kepulauan Bangka Belitung,Beras Medium,Agustus,14260
Kepulauan Riau,Beras Medium,Agustus,14060
DKI Jakarta,Beras Medium,Agustus,13690
Jawa Barat,Beras Medium,Agustus,12900
Jawa Tengah,Beras Medium,Agustus,12970
D.I Yogyakarta,Beras Medium,Agustus,12920
Jawa Timur,Beras Medium,Agustus,12630
Banten,Beras Medium,Agustus,12730
Bali,Beras Medium,Agustus,13940
Nusa Tenggara Barat,Beras Medium,Agustus,12780
Nusa Tenggara Timur,Beras Medium,Agustus,13210
Kalimantan Barat,Beras Medium,Agustus,14780
Kalimantan Tengah,Beras Medium,Agustus,14120
Kalimantan Selatan,Beras Medium,Agustus,12970
Kalimantan Timur,Beras Medium,Agustus,15680
Kalimantan Utara,Beras Medium,Agustus,15390
Sulawesi Utara,Beras Medium,Agustus,13850
Sulawesi Tengah,Beras Medium,Agustus,13510
Sulawesi Selatan,Beras Medium,Agustus,12720
Sulawesi Tenggara,Beras Medium,Agustus,13290
Gorontalo,Beras Medium,Agustus,13380
Sulawesi Barat,Beras Medium,Agustus,13260
Maluku,Beras Medium,Agustus,14700
Maluku Utara,Beras Medium,Agustus,16020
Papua Barat,Beras Medium,Agustus,15570
Papua,Beras Medium,Agustus,15580
Papua Barat Daya,Beras Medium,Agustus,15750
Papua Pegunungan,Beras Medium,Agustus,18000
Papua Tengah,Beras Medium,Agustus,15980
Papua Selatan,Beras Medium,Agustus,15000
Aceh,Bawang Merah,Agustus,27000
Sumatera Utara,Bawang Merah,Agustus,27650
Sumatera Barat,Bawang Merah,Agustus,21590
Riau,Bawang Merah,Agustus,25650
Jambi,Bawang Merah,Agustus,22650
Sumatera Selatan,Bawang Merah,Agustus,26350
Bengkulu,Bawang Merah,Agustus,27100
Lampung,Bawang Merah,Agustus,22140
Kepulauan Bangka Belitung,Bawang Merah,Agustus,29010
Kepulauan Riau,Bawang Merah,Agustus,37980
DKI Jakarta,Bawang Merah,Agustus,33820
Jawa Barat,Bawang Merah,Agustus,26250
Jawa Tengah,Bawang Merah,Agustus,23650
D.I Yogyakarta,Bawang Merah,Agustus,19890
Jawa Timur,Bawang Merah,Agustus,20420
Banten,Bawang Merah,Agustus,25740
Bali,Bawang Merah,Agustus,22280
Nusa Tenggara Barat,Bawang Merah,Agustus,18050
Nusa Tenggara Timur,Bawang Merah,Agustus,21660
Kalimantan Barat,Bawang Merah,Agustus,30380
Kalimantan Tengah,Bawang Merah,Agustus,28360
Kalimantan Selatan,Bawang Merah,Agustus,23040
Kalimantan Timur,Bawang Merah,Agustus,32150
Kalimantan Utara,Bawang Merah,Agustus,37880
Sulawesi Utara,Bawang Merah,Agustus,33160
Sulawesi Tengah,Bawang Merah,Agustus,31810
Sulawesi Selatan,Bawang Merah,Agustus,23880
Sulawesi Tenggara,Bawang Merah,Agustus,29790
Gorontalo,Bawang Merah,Agustus,24440
Sulawesi Barat,Bawang Merah,Agustus,25540
Maluku,Bawang Merah,Agustus,40510
Maluku Utara,Bawang Merah,Agustus,50920
Papua Barat,Bawang Merah,Agustus,54140
Papua,Bawang Merah,Agustus,53250
Papua Barat Daya,Bawang Merah,Agustus,55140
Papua Pegunungan,Bawang Merah,Agustus,70940
Papua Tengah,Bawang Merah,Agustus,67040
Papua Selatan,Bawang Merah,Agustus,47430
Aceh,Bawang Putih,Agustus,39090
Sumatera Utara,Bawang Putih,Agustus,38250
Sumatera Barat,Bawang Putih,Agustus,38560
Riau,Bawang Putih,Agustus,37920
Jambi,Bawang Putih,Agustus,36990
Sumatera Selatan,Bawang Putih,Agustus,37470
Bengkulu,Bawang Putih,Agustus,39230
Lampung,Bawang Putih,Agustus,36960
Kepulauan Bangka Belitung,Bawang Putih,Agustus,39410
Kepulauan Riau,Bawang Putih,Agustus,34670
DKI Jakarta,Bawang Putih,Agustus,42000
Jawa Barat,Bawang Putih,Agustus,39210
Jawa Tengah,Bawang Putih,Agustus,36290
D.I Yogyakarta,Bawang Putih,Agustus,35260
Jawa Timur,Bawang Putih,Agustus,35000
Banten,Bawang Putih,Agustus,38790
Bali,Bawang Putih,Agustus,35380
Nusa Tenggara Barat,Bawang Putih,Agustus,38690
Nusa Tenggara Timur,Bawang Putih,Agustus,40280
Kalimantan Barat,Bawang Putih,Agustus,37980
Kalimantan Tengah,Bawang Putih,Agustus,39860
Kalimantan Selatan,Bawang Putih,Agustus,37560
Kalimantan Timur,Bawang Putih,Agustus,41510
Kalimantan Utara,Bawang Putih,Agustus,44780
Sulawesi Utara,Bawang Putih,Agustus,46260
Sulawesi Tengah,Bawang Putih,Agustus,43580
Sulawesi Selatan,Bawang Putih,Agustus,40030
Sulawesi Tenggara,Bawang Putih,Agustus,43180
Gorontalo,Bawang Putih,Agustus,44130
Sulawesi Barat,Bawang Putih,Agustus,38770
Maluku,Bawang Putih,Agustus,46950
Maluku Utara,Bawang Putih,Agustus,58090
Papua Barat,Bawang Putih,Agustus,52450
Papua,Bawang Putih,Agustus,52500
Papua Barat Daya,Bawang Putih,Agustus,54810
Papua Pegunungan,Bawang Putih,Agustus,67080
Papua Tengah,Bawang Putih,Agustus,67580
Papua Selatan,Bawang Putih,Agustus,47430
Aceh,Cabai Merah,Agustus,35360
Sumatera Utara,Cabai Merah,Agustus,30510
Sumatera Barat,Cabai Merah,Agustus,39180
Riau,Cabai Merah,Agustus,46470
Jambi,Cabai Merah,Agustus,35430
Sumatera Selatan,Cabai Merah,Agustus,46580
Bengkulu,Cabai Merah,Agustus,40310
Lampung,Cabai Merah,Agustus,40310
Kepulauan Bangka Belitung,Cabai Merah,Agustus,50130
Kepulauan Riau,Cabai Merah,Agustus,62360
DKI Jakarta,Cabai Merah,Agustus,48240
Jawa Barat,Cabai Merah,Agustus,43020
Jawa Tengah,Cabai Merah,Agustus,34850
D.I Yogyakarta,Cabai Merah,Agustus,33310
Jawa Timur,Cabai Merah,Agustus,35270
Banten,Cabai Merah,Agustus,42600
Bali,Cabai Merah,Agustus,39150
Nusa Tenggara Barat,Cabai Merah,Agustus,45120
Nusa Tenggara Timur,Cabai Merah,Agustus,55570
Kalimantan Barat,Cabai Merah,Agustus,53930
Kalimantan Tengah,Cabai Merah,Agustus,56520
Kalimantan Selatan,Cabai Merah,Agustus,31030
Kalimantan Timur,Cabai Merah,Agustus,45840
Kalimantan Utara,Cabai Merah,Agustus,70490
Sulawesi Utara,Cabai Merah,Agustus,43660
Sulawesi Tengah,Cabai Merah,Agustus,44890
Sulawesi Selatan,Cabai Merah,Agustus,34140
Sulawesi Tenggara,Cabai Merah,Agustus,48750
Gorontalo,Cabai Merah,Agustus,46040
Sulawesi Barat,Cabai Merah,Agustus,36740
Maluku,Cabai Merah,Agustus,76490
Maluku Utara,Cabai Merah,Agustus,66080
Papua Barat,Cabai Merah,Agustus,84880
Papua,Cabai Merah,Agustus,75620
Papua Barat Daya,Cabai Merah,Agustus,78640
Papua Pegunungan,Cabai Merah,Agustus,107240
Papua Tengah,Cabai Merah,Agustus,105790
Papua Selatan,Cabai Merah,Agustus,82160
Sumatera Utara,Cabai Rawit,Agustus,49040
Sumatera Barat,Cabai Rawit,Agustus,54920
Riau,Cabai Rawit,Agustus,76600
Jambi,Cabai Rawit,Agustus,63470
Sumatera Selatan,Cabai Rawit,Agustus,68400
Bengkulu,Cabai Rawit,Agustus,70720
Lampung,Cabai Rawit,Agustus,62590
Kepulauan Bangka Belitung,Cabai Rawit,Agustus,90630
Kepulauan Riau,Cabai Rawit,Agustus,85510
DKI Jakarta,Cabai Rawit,Agustus,78040
Jawa Barat,Cabai Rawit,Agustus,75950
Jawa Tengah,Cabai Rawit,Agustus,68770
D.I Yogyakarta,Cabai Rawit,Agustus,70690
Jawa Timur,Cabai Rawit,Agustus,66390
Banten,Cabai Rawit,Agustus,75700
Bali,Cabai Rawit,Agustus,70470
Nusa Tenggara Barat,Cabai Rawit,Agustus,65820
Nusa Tenggara Timur,Cabai Rawit,Agustus,49220
Kalimantan Barat,Cabai Rawit,Agustus,80940
Kalimantan Tengah,Cabai Rawit,Agustus,82340
Kalimantan Selatan,Cabai Rawit,Agustus,68960
Kalimantan Timur,Cabai Rawit,Agustus,75010
Kalimantan Utara,Cabai Rawit,Agustus,87780
Sulawesi Utara,Cabai Rawit,Agustus,58460
Sulawesi Tengah,Cabai Rawit,Agustus,65050
Sulawesi Selatan,Cabai Rawit,Agustus,55140
Sulawesi Tenggara,Cabai Rawit,Agustus,60820
Gorontalo,Cabai Rawit,Agustus,61130
Sulawesi Barat,Cabai Rawit,Agustus,53260
Maluku,Cabai Rawit,Agustus,80750
Maluku Utara,Cabai Rawit,Agustus,76100
Papua Barat,Cabai Rawit,Agustus,92290
Papua,Cabai Rawit,Agustus,98400
Papua Barat Daya,Cabai Rawit,Agustus,96420
Papua Pegunungan,Cabai Rawit,Agustus,120620
Papua Tengah,Cabai Rawit,Agustus,137260
Papua Selatan,Cabai Rawit,Agustus,77460
Aceh,Jagung,Agustus,7000
Sumatera Utara,Jagung,Agustus,5590
Sumatera Barat,Jagung,Agustus,4840
Riau,Jagung,Agustus,5830
Sumatera Selatan,Jagung,Agustus,5330
Lampung,Jagung,Agustus,4630
Kepulauan Riau,Jagung,Agustus,6600
Jawa Barat,Jagung,Agustus,5060
Jawa Tengah,Jagung,Agustus,4720
D.I Yogyakarta,Jagung,Agustus,4750
Jawa Timur,Jagung,Agustus,5120
Banten,Jagung,Agustus,7790
Bali,Jagung,Agustus,5550
Nusa Tenggara Barat,Jagung,Agustus,4160
Nusa Tenggara Timur,Jagung,Agustus,7130
Kalimantan Barat,Jagung,Agustus,5130
Kalimantan Tengah,Jagung,Agustus,6240
Kalimantan Selatan,Jagung,Agustus,7900
Kalimantan Timur,Jagung,Agustus,8280
Kalimantan Utara,Jagung,Agustus,7000
Sulawesi Utara,Jagung,Agustus,4850
Sulawesi Tengah,Jagung,Agustus,5730
Sulawesi Selatan,Jagung,Agustus,5000
Sulawesi Tenggara,Jagung,Agustus,5130
Sulawesi Barat,Jagung,Agustus,4000
Maluku,Jagung,Agustus,8260
Maluku Utara,Jagung,Agustus,10340
Papua Barat,Jagung,Agustus,8660
Papua,Jagung,Agustus,7490
Papua Barat Daya,Jagung,Agustus,9350
Papua Tengah,Jagung,Agustus,6870
Papua Selatan,Jagung,Agustus,12000
Aceh,Beras SPHP,Agustus,12880
Sumatera Utara,Beras SPHP,Agustus,12640
Sumatera Barat,Beras SPHP,Agustus,12780
Riau,Beras SPHP,Agustus,13120
Jambi,Beras SPHP,Agustus,12640
Sumatera Selatan,Beras SPHP,Agustus,12500
Bengkulu,Beras SPHP,Agustus,12810
Lampung,Beras SPHP,Agustus,12160
Kepulauan Bangka Belitung,Beras SPHP,Agustus,12860
Kepulauan Riau,Beras SPHP,Agustus,12860
Jawa Barat,Beras SPHP,Agustus,12300
Jawa Tengah,Beras SPHP,Agustus,12150
D.I Yogyakarta,Beras SPHP,Agustus,12370
Jawa Timur,Beras SPHP,Agustus,12020
Banten,Beras SPHP,Agustus,12320
Bali,Beras SPHP,Agustus,12210
Nusa Tenggara Barat,Beras SPHP,Agustus,12500
Nusa Tenggara Timur,Beras SPHP,Agustus,12850
Kalimantan Barat,Beras SPHP,Agustus,13000
Kalimantan Tengah,Beras SPHP,Agustus,13120
Kalimantan Selatan,Beras SPHP,Agustus,12810
Kalimantan Timur,Beras SPHP,Agustus,12690
Kalimantan Utara,Beras SPHP,Agustus,13120
Sulawesi Utara,Beras SPHP,Agustus,12470
Sulawesi Tengah,Beras SPHP,Agustus,12200
Sulawesi Selatan,Beras SPHP,Agustus,12170
Sulawesi Tenggara,Beras SPHP,Agustus,12370
Gorontalo,Beras SPHP,Agustus,12470
Sulawesi Barat,Beras SPHP,Agustus,12030
Maluku,Beras SPHP,Agustus,13470
Maluku Utara,Beras SPHP,Agustus,13630
Papua Barat,Beras SPHP,Agustus,13000
Papua,Beras SPHP,Agustus,13920
Papua Barat Daya,Beras SPHP,Agustus,13590
Papua Tengah,Beras SPHP,Agustus,13660
Papua Selatan,Beras SPHP,Agustus,13250
Aceh,Beras Premium,September,14720
Sumatera Utara,Beras Premium,September,15510
Sumatera Barat,Beras Premium,September,17540
